  # 클립    슬러그                        역할      문장  상태
───────────────────────────────────────────────────────────────────────
 41 [40]  toast-toast                진행       4  ✅ 4회차 · 2/4 고침
 42 [41]  toast-cake                 진행       3  ✅ 4회차 · 2/3 고침
 43 [42]  toast-both                 진행       3  ✅ 4회차 · 2/3 고침
 44 [76]  toast-both-b               진행       3  ✅ 4회차 · 3/4 고침
 45 [43]  parents-letter             편지      45  ✅ 8회차 · 8/45 고침
 46 [52]  narr-entry-out             진행       4  ✅ 1회차 · 4/4 고침
 47 [79]  narr-entry-out-B           진행       2  ✅ 1회차 · 1/2 고침
 48 [80]  narr-entry-out-C           진행       4  ✅ 1회차 · 4/4 고침
 49 [81]  narr-entry-out-D           진행       4  ✅ 1회차 · 4/4 고침
 50 [82]  narr-entry-out-E           진행       4  ✅ 1회차 · 4/4 고침
 51 [83]  narr-entry-out-F           진행       4  ✅ 1회차 · 4/4 고침
 52 [56]  narr-toast-out             진행       2  ✅ 4회차 · 1/2 고침
 53 [77]  narr-cake-out              진행       2  ◻ 4회차 · 전부 유지
 54 [57]  narr-declare-family-out    진행       2  ◻ 3회차 · 전부 유지
 55 [58]  narr-free-in               진행       2  ✅ 6회차 · 2/2 고침
 56 [59]  narr-free-out              진행       1  ✅ 6회차 · 1/1 고침
 57 [60]  narr-photo-split           진행       2  ◻ 5회차 · 전부 유지
 58 [61]  narr-round-open            진행       3  ✅ 5회차 · 1/3 고침
 59 [62]  narr-online-in             진행       2  ✅ 5회차 · 2/2 고침
 60 [63]  narr-final-warn            진행       1  ✅ 5회차 · 1/1 고침
 61 [64]  narr-final-call            진행       2  ✅ 5회차 · 2/2 고침
 62 [65]  narr-photo-out             진행       1  ◻ 5회차 · 전부 유지
 63 [69]  fx-vshape                  진행       1  ✅ 6회차 · 1/1 고침
 64 [70]  fx-clink                   진행       1  ◻ 6회차 · 전부 유지
 65 [71]  fx-wave                    진행       1  ◻ 6회차 · 전부 유지
 66 [73]  fx-lean                    진행       1  ✅ 6회차 · 1/1 고침
 67 [74]  fx-clap                    진행       1  ◻ 6회차 · 전부 유지
 68 [75]  fx-selfie                  진행       1  ✅ 6회차 · 1/1 고침
 69 [01]  guest-1                    신랑       4  ✅ 7회차 · 3/4 고침
 70 [02]  guest-2                    신부       3  ◻ 7회차 · 전부 유지
 71 [03]  guest-3                    신랑       2  ✅ 7회차 · 1/2 고침
 72 [04]  guest-4                    신부       6  ✅ 7회차 · 2/6 고침
 73 [18]  entry-A                    신랑|신부    3  ⛔ 일부러 안 건드림
                                         └ 짝인 3인칭 05(A)를 1회차에서 고쳤다 — 함께 볼 자리이나 배역 녹음이 걸려 별도 판단이 필요하다
 74 [19]  entry-B                    신랑|신부    2  ✅ 6회차 · 2/2 고침
 75 [20]  entry-C                    신랑|신부    3  ⛔ 일부러 안 건드림
                                         └ 위와 같음(짝 07)
 76 [21]  entry-D                    신랑|신부    3  ✅ 6회차 · 3/3 고침
 77 [22]  entry-E                    신랑|신부    3  ✅ 6회차 · 3/3 고침
 78 [23]  entry-F                    신랑|신부    3  ⛔ 일부러 안 건드림
                                         └ 위와 같음(짝 10)
 79 [06]  welcome-groom              신랑       3  ✅ 6회차 · 1/3 고침
 80 [07]  welcome-bride              신부       4  ✅ 6회차 · 3/4 고침
 81 [08]  vow-groom                  신랑       9  ⛔ 일부러 안 건드림
                                         └ 사장님이 「다시」를 안 누르셨고, 한 줄 한 줄이 게이트에 묶여 있다(VOW_OPENS_COLD·CHAR_ONE·DUP_ONCE)
 82 [09]  vow-bride                  신부      13  ⛔ 일부러 안 건드림
                                         └ 사장님이 「다시」를 안 누르셨고, 끝 두 줄이 VOW_ECHO 장치다(한쪽만 고치면 짝이 죽는다)
 83 [24]  vow-both-1                 신랑       2  ⛔ 일부러 안 건드림
                                         └ 합창 재료다. 예식에서 이대로 안 나가고 26_vow-both 로 겹쳐 나간다
 84 [25]  vow-both-2                 신부       2  ⛔ 일부러 안 건드림
                                         └ 위와 같음. 글자가 24와 같아야 겹친 소리가 웅얼거리지 않는다
 85 [10]  letter-parent              신부      13  ◻ 8회차 · 전부 유지
 86 [11]  letter-each                신랑      15  ◻ 8회차 · 전부 유지
 87 [12]  bless-father               아버님     15  ◻ 8회차 · 전부 유지
 88 [13]  bless-mother               어머님     17  ✅ 8회차 · 4/17 고침
 89 [14]  tribute                    신랑      11  ✅ 8회차 · 1/12 고침
 90 [15]  toast                      하객대표     7  ⛔ 일부러 안 건드림
                                         └ 사장님 「친구부분멘트 아예 삭제」 — 삭제 대상이라 문안을 고치지 않는다
 91 [27]  tribute-reply              시어머님     4  ◻ 8회차 · 전부 유지
───────────────────────────────────────────────────────────────────────
본 것 83 · 사유 있는 제외 8 · 합계 91
